Model	Started	Ended	F1-Micro	F1-Macro
bert-ner	2021-05-01 23:27:00,752	2021-05-02 02:07:37,187	0.8490	0.7345
elmo-ner	2021-05-01 15:23:21,030	2021-05-01 15:30:34,618		
finbert-char-ner	2021-04-29 19:31:20,433	2021-04-30 17:56:25,677	0.0019	0.0006
finbert-ner	2021-04-30 17:56:25,893	2021-04-30 20:51:08,275	0.7927	0.6623
flair-ner	2021-04-30 18:11:02,999	2021-04-30 22:36:23,377	0.8412	0.7396
glove-char-ner	2021-05-01 23:25:56,513	2021-05-02 02:14:24,819	0.0011	0.0004
roberta-ner	2021-04-29 19:49:14,409	2021-04-29 22:54:27,854	0.8470	0.7485
xlm-roberta-ner	2021-04-30 02:28:13,932	2021-04-30 05:45:14,638	0.8399	0.7213
xlnet-ner	2021-04-29 22:54:27,902	2021-04-30 02:28:13,838	0.8452	0.7397
