MODEL	EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
bert-ner	51	01:15:40	0	0.0125	1.2602898504749034	1.1971499919891357	0.8463	0.8908	0.8680
bert-ner	52	01:17:13	1	0.0125	1.262736196787852	1.2009342908859253	0.8453	0.8917	0.8679
bert-ner	53	01:18:48	2	0.0125	1.2577283086266908	1.2094132900238037	0.8439	0.8921	0.8673
bert-ner	54	01:20:18	0	0.0125	1.2510998361515548	1.1910836696624756	0.8475	0.8917	0.8690
bert-ner	55	01:21:51	0	0.0125	1.2535055557137016	1.1736927032470703	0.8523	0.8866	0.8691
bert-ner	56	01:23:25	1	0.0125	1.2507657989765864	1.2051728963851929	0.8441	0.8924	0.8676
bert-ner	57	01:24:55	2	0.0125	1.2503900872836322	1.1812673807144165	0.8504	0.8879	0.8687
bert-ner	58	01:26:31	3	0.0125	1.2443735502051108	1.201439380645752	0.8446	0.8919	0.8676
bert-ner	59	01:28:01	4	0.0125	1.244802696150054	1.18291437625885	0.8494	0.8893	0.8689
bert-ner	60	01:29:32	1	0.0063	1.2372044808459732	1.1887381076812744	0.8483	0.8895	0.8684
bert-ner	61	01:31:01	2	0.0063	1.234820083627161	1.1853761672973633	0.8483	0.8895	0.8684
bert-ner	62	01:32:32	3	0.0063	1.2388361377536126	1.1978763341903687	0.8459	0.8918	0.8682
bert-ner	63	01:34:08	4	0.0063	1.2387210891681648	1.2038637399673462	0.8446	0.8928	0.8681
bert-ner	64	01:35:39	1	0.0031	1.2260959984371498	1.1921308040618896	0.8464	0.8911	0.8682
bert-ner	65	01:37:10	2	0.0031	1.2316905038911592	1.1980198621749878	0.8459	0.8922	0.8684
bert-ner	66	01:38:40	3	0.0031	1.2250087576092414	1.1951624155044556	0.8457	0.8919	0.8682
bert-ner	67	01:40:10	4	0.0031	1.2372719285623082	1.185133457183838	0.8472	0.8909	0.8685
bert-ner	68	01:41:41	1	0.0016	1.2297785237150372	1.192498803138733	0.8461	0.8921	0.8685
bert-ner	69	01:43:16	2	0.0016	1.231982965889217	1.1907076835632324	0.8464	0.8919	0.8685
bert-ner	70	01:44:47	3	0.0016	1.2258666821245878	1.1897584199905396	0.8468	0.8916	0.8686
bert-ner	71	01:46:17	4	0.0016	1.2277644149162485	1.192328691482544	0.8461	0.8919	0.8684
bert-ner	72	01:47:47	1	0.0008	1.2291237790629548	1.189863920211792	0.8466	0.8917	0.8686
bert-ner	73	01:49:17	2	0.0008	1.2266117360606883	1.1899583339691162	0.8468	0.8919	0.8688
bert-ner	74	01:50:53	3	0.0008	1.2243510004859302	1.1901845932006836	0.8467	0.8918	0.8687
bert-ner	75	01:52:23	4	0.0008	1.2234612905754234	1.1885244846343994	0.8469	0.8915	0.8686
bert-ner	76	01:53:53	1	0.0004	1.2333186317539815	1.1915472745895386	0.8464	0.8918	0.8685
bert-ner	77	01:55:23	2	0.0004	1.2289432253477708	1.188499927520752	0.8467	0.8915	0.8685
bert-ner	78	01:56:54	3	0.0004	1.229040395913634	1.1912219524383545	0.8466	0.8918	0.8686
bert-ner	79	01:58:29	4	0.0004	1.2316544363333743	1.1876270771026611	0.8472	0.8913	0.8687
bert-ner	80	02:00:00	1	0.0002	1.2282847319758914	1.1895763874053955	0.8467	0.8913	0.8684
bert-ner	81	02:01:30	2	0.0002	1.2287710219059351	1.1896986961364746	0.8465	0.8914	0.8684
bert-ner	82	02:03:01	3	0.0002	1.2268169436064906	1.1887857913970947	0.8468	0.8913	0.8685
bert-ner	83	02:04:31	4	0.0002	1.2310160960791245	1.1886072158813477	0.8469	0.8912	0.8685

finbert-char-ner	1	20:02:42	0	0.1000	11.646672165454746	17.59765625	0.0000	0.0000	0.0000
finbert-char-ner	2	20:15:26	0	0.1000	6.472584943351506	4.434054851531982	0.6754	0.6103	0.6412
finbert-char-ner	3	20:28:19	0	0.1000	4.959374456285681	3.62294340133667	0.7230	0.6563	0.6880
finbert-char-ner	4	20:41:06	0	0.1000	4.338643723313913	3.4721288681030273	0.7396	0.6687	0.7023
finbert-char-ner	5	20:54:00	0	0.1000	3.949220894267724	3.071793556213379	0.7215	0.7234	0.7225
finbert-char-ner	6	21:06:48	0	0.1000	3.664319650182184	2.834807872772217	0.7417	0.7313	0.7365
finbert-char-ner	7	21:19:44	0	0.1000	3.474638709482157	2.7134928703308105	0.7620	0.7404	0.7510
finbert-char-ner	8	21:32:40	0	0.1000	3.2938910400342643	2.535559892654419	0.7840	0.7375	0.7600
finbert-char-ner	9	21:45:30	1	0.1000	3.1537311167087196	2.5442535877227783	0.7517	0.7650	0.7583
finbert-char-ner	10	21:58:24	0	0.1000	3.047372575076121	2.3570961952209473	0.7916	0.7505	0.7705
finbert-char-ner	11	22:11:14	1	0.1000	2.945942374895204	2.3736448287963867	0.7762	0.7606	0.7683
finbert-char-ner	12	22:24:09	0	0.1000	2.8575216059414847	2.2662620544433594	0.7935	0.7572	0.7749
finbert-char-ner	13	22:36:59	1	0.1000	2.790833534684571	2.286076068878174	0.7686	0.7745	0.7715
finbert-char-ner	14	22:49:54	0	0.1000	2.7160537542786987	2.2021799087524414	0.7810	0.7800	0.7805
finbert-char-ner	15	23:03:03	1	0.1000	2.662353848511318	2.291876792907715	0.7552	0.7944	0.7743
finbert-char-ner	16	23:16:37	0	0.1000	2.6142925766279115	2.136319637298584	0.7876	0.7811	0.7844
finbert-char-ner	17	23:30:55	1	0.1000	2.5498002805050066	2.1444883346557617	0.7742	0.7894	0.7817
finbert-char-ner	18	23:44:29	2	0.1000	2.5084378764314472	2.201117753982544	0.7617	0.8005	0.7806
finbert-char-ner	19	23:57:30	0	0.1000	2.4582581505085686	2.04805850982666	0.8015	0.7822	0.7917
finbert-char-ner	20	00:10:38	0	0.1000	2.3896082062391364	1.9624828100204468	0.7915	0.7986	0.7950
finbert-char-ner	21	00:23:45	0	0.1000	2.3139978024944567	1.9124292135238647	0.7926	0.8036	0.7980
finbert-char-ner	22	00:36:46	0	0.1000	2.2293928096879205	1.8052476644515991	0.8118	0.8006	0.8062
finbert-char-ner	23	00:49:52	1	0.1000	2.140456234883962	1.8030418157577515	0.7863	0.8268	0.8061
finbert-char-ner	24	01:02:52	0	0.1000	2.0766947082003706	1.7948553562164307	0.7880	0.8299	0.8084
finbert-char-ner	25	01:16:02	0	0.1000	2.0268216995323227	1.773669719696045	0.7913	0.8283	0.8094
