Model	Started	Ended	F1-Micro	F1-Macro
elmo-ner	2021-04-12 23:05:36,980	2021-04-12 23:13:42,244	0.7857	0.5982
finbert-char-ner	2021-04-12 22:39:24,024	2021-04-12 22:58:19,943	0.0059	0.0051
finbert-ner	2021-04-12 22:58:19,976	2021-04-12 23:06:04,991	0.8143	0.5800
flair-ner	2021-04-12 23:06:05,134	2021-04-12 23:12:52,549	0.7987	0.5275
glove-char-ner	2021-04-12 23:12:52,571	2021-04-12 23:19:31,250	0.0015	0.0008
roberta-ner	2021-04-12 23:13:42,272	2021-04-12 23:23:11,570	0.8206	0.6360
xlm-roberta-ner	2021-04-12 23:31:01,910	2021-04-12 23:31:25,626		
xlnet-ner	2021-04-12 23:23:11,619	2021-04-12 23:31:01,871	0.8143	0.5293
