MODEL	EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1
elmo-ner	58	23:13:13	1	0.0002	0.13066756138295837	1.748836636543274	0.9200	0.9583	0.9388
elmo-ner	59	23:13:21	2	0.0002	0.1472234772800496	1.7491509914398193	0.9200	0.9583	0.9388
elmo-ner	60	23:13:28	3	0.0002	0.13698708819168987	1.7496984004974365	0.9200	0.9583	0.9388
elmo-ner	61	23:13:35	4	0.0002	0.144327132990866	1.7490012645721436	0.9200	0.9583	0.9388
finbert-char-ner	1	22:39:59	0	0.1000	9.548281449260134	2.885417938232422	0.5821	0.6610	0.6190
finbert-char-ner	2	22:40:22	0	0.1000	3.093243313558174	1.7788580656051636	0.9691	0.7966	0.8744
finbert-char-ner	3	22:40:44	1	0.1000	2.217902447238113	1.159432053565979	0.9000	0.8390	0.8684
finbert-char-ner	4	22:41:06	2	0.1000	1.6710970266298815	1.1109609603881836	0.8293	0.8644	0.8465
finbert-char-ner	5	22:41:28	3	0.1000	1.4748902989156318	1.2973119020462036	0.8254	0.8814	0.8525
finbert-char-ner	6	22:41:49	0	0.1000	1.3903291098999255	0.9361362457275391	0.8824	0.8898	0.8861
finbert-char-ner	7	22:42:12	0	0.1000	1.1086561002514579	0.9052789211273193	0.8760	0.8983	0.8870
finbert-char-ner	8	22:42:34	0	0.1000	1.0865061675960368	0.8268387317657471	0.9145	0.9068	0.9106
finbert-char-ner	9	22:42:57	0	0.1000	0.864363120360808	1.1398546695709229	0.9633	0.8898	0.9251
finbert-char-ner	10	22:43:19	1	0.1000	0.8591318798787666	0.8656315803527832	0.9153	0.9153	0.9153
finbert-char-ner	11	22:43:41	2	0.1000	0.8586077066985044	0.8874572515487671	0.9060	0.8983	0.9021
finbert-char-ner	12	22:44:03	3	0.1000	0.7851732273896536	0.8204094767570496	0.9224	0.9068	0.9145
finbert-char-ner	13	22:44:24	0	0.1000	0.6877146110390172	1.0269023180007935	0.9643	0.9153	0.9391
finbert-char-ner	14	22:44:47	1	0.1000	0.697357534459143	0.9094526767730713	0.9217	0.8983	0.9099
finbert-char-ner	15	22:45:08	2	0.1000	0.6908163834701885	0.8124061822891235	0.9391	0.9153	0.9270
finbert-char-ner	16	22:45:30	3	0.1000	0.5515360913493417	0.8410418033599854	0.9231	0.9153	0.9191
finbert-char-ner	17	22:45:51	4	0.1000	0.5065432335391189	0.8360390663146973	0.9224	0.9068	0.9145
finbert-char-ner	18	22:46:13	1	0.0500	0.4740210089719657	0.8278025984764099	0.9316	0.9237	0.9277
finbert-char-ner	19	22:46:35	2	0.0500	0.42268899308912683	0.7886771559715271	0.9145	0.9068	0.9106
finbert-char-ner	20	22:46:57	3	0.0500	0.36763700571927155	0.8642867207527161	0.9304	0.9068	0.9185
finbert-char-ner	21	22:47:18	4	0.0500	0.31749844325311255	0.8551385998725891	0.9224	0.9068	0.9145
finbert-char-ner	22	22:47:39	1	0.0250	0.348978674773014	0.8385794162750244	0.9145	0.9068	0.9106
finbert-char-ner	23	22:48:01	2	0.0250	0.3778674760551164	0.8176944851875305	0.9231	0.9153	0.9191
finbert-char-ner	24	22:48:23	3	0.0250	0.3394440884391467	0.8546987771987915	0.9231	0.9153	0.9191
finbert-char-ner	25	22:48:44	4	0.0250	0.35472224991429935	0.8255091309547424	0.9145	0.9068	0.9106
finbert-char-ner	26	22:49:06	1	0.0125	0.35670362548394635	0.8530855178833008	0.9231	0.9153	0.9191
finbert-char-ner	27	22:49:27	2	0.0125	0.32197057433200604	0.8637969493865967	0.9231	0.9153	0.9191
finbert-char-ner	28	22:49:49	3	0.0125	0.3227755842786847	0.8770039081573486	0.9322	0.9322	0.9322
finbert-char-ner	29	22:50:10	4	0.0125	0.3226721625436436	0.8666579723358154	0.9237	0.9237	0.9237
finbert-char-ner	30	22:50:32	1	0.0063	0.3233564342513229	0.849453330039978	0.9231	0.9153	0.9191
finbert-char-ner	31	22:50:53	2	0.0063	0.33474277637221594	0.8475265502929688	0.9231	0.9153	0.9191
finbert-char-ner	32	22:51:14	3	0.0063	0.3560156722863515	0.8527945876121521	0.9145	0.9068	0.9106
finbert-char-ner	33	22:51:36	4	0.0063	0.3571141000949975	0.8463042974472046	0.9231	0.9153	0.9191
finbert-char-ner	34	22:51:58	1	0.0031	0.3328321779316122	0.8567391037940979	0.9145	0.9068	0.9106
finbert-char-ner	35	22:52:19	2	0.0031	0.28929844769564544	0.8583225607872009	0.9145	0.9068	0.9106
finbert-char-ner	36	22:52:40	3	0.0031	0.3261669232989802	0.8522143959999084	0.9145	0.9068	0.9106
finbert-char-ner	37	22:53:02	4	0.0031	0.28974944398258673	0.8610244989395142	0.9145	0.9068	0.9106
finbert-char-ner	38	22:53:23	1	0.0016	0.3433547724377025	0.8598308563232422	0.9145	0.9068	0.9106
finbert-char-ner	39	22:53:44	2	0.0016	0.3248580170400215	0.8581836223602295	0.9145	0.9068	0.9106
finbert-char-ner	40	22:54:06	3	0.0016	0.2955369719050147	0.8652621507644653	0.9231	0.9153	0.9191
finbert-char-ner	41	22:54:27	4	0.0016	0.2916363283540263	0.8654147982597351	0.9145	0.9068	0.9106
finbert-char-ner	42	22:54:48	1	0.0008	0.32745331209717377	0.864383339881897	0.9145	0.9068	0.9106
finbert-char-ner	43	22:55:06	2	0.0008	0.28387188414732617	0.8660851716995239	0.9145	0.9068	0.9106
finbert-char-ner	44	22:55:25	3	0.0008	0.3470908584016742	0.8648924231529236	0.9145	0.9068	0.9106
finbert-char-ner	45	22:55:44	4	0.0008	0.34566322872132965	0.8633628487586975	0.9145	0.9068	0.9106
finbert-char-ner	46	22:56:02	1	0.0004	0.3001012449914759	0.8632887601852417	0.9145	0.9068	0.9106
finbert-char-ner	47	22:56:20	2	0.0004	0.28671918854568945	0.8637334108352661	0.9145	0.9068	0.9106
finbert-char-ner	48	22:56:39	3	0.0004	0.29095373460740753	0.8638900518417358	0.9145	0.9068	0.9106
finbert-char-ner	49	22:56:57	4	0.0004	0.2850922951192567	0.8642424941062927	0.9145	0.9068	0.9106
finbert-char-ner	50	22:57:15	1	0.0002	0.31556282034426025	0.8648412823677063	0.9145	0.9068	0.9106
finbert-char-ner	51	22:57:34	2	0.0002	0.3140037100423466	0.8647095561027527	0.9145	0.9068	0.9106
finbert-char-ner	52	22:57:52	3	0.0002	0.2767497147574569	0.864783763885498	0.9145	0.9068	0.9106
finbert-char-ner	53	22:58:10	4	0.0002	0.2984019694003192	0.8657376766204834	0.9145	0.9068	0.9106
finbert-ner	1	22:58:41	0	0.1000	11.476380667903207	2.339221477508545	0.7788	0.6864	0.7297
finbert-ner	2	22:58:49	0	0.1000	3.1908620126319653	2.072023391723633	0.7252	0.8051	0.7631
finbert-ner	3	22:58:56	0	0.1000	2.2584802255486	1.0393954515457153	0.8814	0.8814	0.8814
finbert-ner	4	22:59:04	0	0.1000	1.7221024397647742	0.9365212321281433	0.9060	0.8983	0.9021
finbert-ner	5	22:59:12	1	0.1000	1.5649878256248706	1.1166423559188843	0.9279	0.8729	0.8996
finbert-ner	6	22:59:19	0	0.1000	1.3612812585902936	0.8542627096176147	0.9224	0.9068	0.9145
finbert-ner	7	22:59:26	1	0.1000	1.158308780554569	0.9031778573989868	0.9224	0.9068	0.9145
finbert-ner	8	22:59:33	0	0.1000	0.9863951942234328	0.8592442274093628	0.9464	0.8983	0.9217
finbert-ner	9	22:59:41	0	0.1000	1.0242556414820931	0.8773232698440552	0.9474	0.9153	0.9310
finbert-ner	10	22:59:48	1	0.1000	0.9261576930681864	0.8483095169067383	0.9224	0.9068	0.9145
finbert-ner	11	22:59:55	2	0.1000	0.834465020533764	0.9753880500793457	0.8992	0.9068	0.9030
finbert-ner	12	23:00:02	0	0.1000	0.7360084147164316	0.8726420402526855	0.9478	0.9237	0.9356
finbert-ner	13	23:00:09	1	0.1000	0.8291636637666009	0.8400939702987671	0.9386	0.9068	0.9224
finbert-ner	14	23:00:16	2	0.1000	0.7085338839978883	0.761137068271637	0.9304	0.9068	0.9185
finbert-ner	15	23:00:23	3	0.1000	0.6365155180295309	1.0478904247283936	0.9633	0.8898	0.9251
finbert-ner	16	23:00:30	0	0.1000	0.5840739339138522	0.8681227564811707	0.9483	0.9322	0.9402
finbert-ner	17	23:00:37	1	0.1000	0.690898392236594	0.8226630687713623	0.9068	0.9068	0.9068
finbert-ner	18	23:00:44	2	0.1000	0.5031246389403488	0.811760663986206	0.9145	0.9068	0.9106
finbert-ner	19	23:00:51	3	0.1000	0.487088577765407	0.7506228685379028	0.9304	0.9068	0.9185
finbert-ner	20	23:00:58	4	0.1000	0.4673371242754387	0.7360692620277405	0.9145	0.9068	0.9106
finbert-ner	21	23:01:05	0	0.0500	0.44025800535173126	0.8204069137573242	0.9483	0.9322	0.9402
finbert-ner	22	23:01:12	0	0.0500	0.3663018625794035	0.8182955384254456	0.9565	0.9322	0.9442
finbert-ner	23	23:01:21	1	0.0500	0.35600826640923816	0.7471653819084167	0.9231	0.9153	0.9191
