timestamp, name, pci.bus_id, driver_version, pstate, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2021/04/13 05:44:23.888, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 05:49:23.889, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 31, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 05:49:23.889, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 05:54:23.890, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 05:54:23.891, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 05:59:23.892, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 05:59:23.892, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 06:04:23.893, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 06:04:23.894, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 06:09:23.895, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 06:09:23.895, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 06:14:23.897, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 06:14:23.897, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 06:19:23.898, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
2021/04/13 06:19:23.899, Quadro RTX 8000, 00000000:2D:00.0, 460.39, P8, 36, 0 %, 0 %, 48576 MiB, 48054 MiB, 522 MiB
2021/04/13 06:24:23.900, Quadro RTX 8000, 00000000:15:00.0, 460.39, P8, 32, 0 %, 0 %, 48601 MiB, 48427 MiB, 174 MiB
